"metro","cbsa","TReturns13","tnew13","eitc13","eitcamt13","tchildret_13","tchildamt_13","taddchildret_13","taddchildamt_13","ttf2441_13","ttedcr_13","ttsld_13","trefund13","TREFAM13","ttbal13","ttsumbal13","ttdirdep_13","ttral_13","ttrac_13","ttself13","ttpaid13","TTtotvol13","TT1040_13","TT1040A_13","TT1040ez_13","ITIN13","ttcef13","yr13ttagi_0","yr13ttagi_5","yr13ttagi_10","yr13ttagi_15","yr13ttagi_20","yr13ttagi_25","yr13ttagi_30","yr13ttagi_35","yr13ttagi_40","yr13ttagi_50","yr13ttagi_60","yr13ttagi_75","yr13ttagi_1x","ERETURN13","ENEW13","EEIC13","EEICAM13","EQC0_13","EQC0AMT_13","EQC1_13","EQC1AMT_13","EQC2_13","EQC2AMT_13","EQC3_13","EQC3AMT_13","ECTC13","ECTCAM13","EACTC13","EACTCAM13","ECDCTC13","EEDCR13","ESLD13","EREF13","EREFAM13","EBAL13","EBALAM13","EDIRDP13","ERAL13","ERAC13","ESELF13","EPAID13","EVOL13","E1040_13","E1040A_13","E1040Z_13","ECEF13","EAGI0_13","EAGI5_13","EAGI10_13","EAGI15_13","EAGI20_13","EAGI25_13","EAGI30_13","EAGI35_13","EAGI40_13","EAGI50_13"
"North Port-Sarasota-Bradenton, FL","=""35840""","316,759","8,416","54,826","125,397,651","36,654","41,194,262","37,727","51,482,781","11,350","15,171","16,523","227,205","596,478,516","62,627","353,906,357","179,987",55,"33,153","146,234","160,065","10,396","213,014","63,671","39,700","7,806","88,855","26,395","25,408","27,642","26,400","23,484","20,744","17,108","14,483","23,742","18,715","22,171","26,151","44,053","54,826",887,"54,826","125,397,651","15,247","4,283,723","20,130","47,036,061","13,180","49,442,635","5,736","23,850,433","12,958","9,108,680","30,278","38,706,210","3,676","2,287","2,241","52,046","209,720,975","2,659","2,344,206","45,486",42,"17,206","28,010","25,444","1,251","29,260","20,296","5,110","15,217","5,570","9,830","11,767","7,411","5,809","5,093","4,043","2,586","1,953",0
"Norwich-New London, CT","=""35980""","125,423","3,626","17,525","36,759,835","17,906","21,940,113","11,038","13,018,812","4,864","8,860","10,558","100,639","268,307,087","19,590","84,081,171","83,996",0,"18,392","63,020","58,555","3,814","84,676","22,457","18,185",683,"24,593","9,578","8,840","9,071","8,361","7,764","6,655","6,062","5,595","9,661","8,203","10,111","12,434","22,572","17,525",157,"17,525","36,759,835","4,390","1,170,668","6,873","14,833,703","4,171","13,767,759","1,817","6,625,942","5,013","3,748,622","9,778","11,485,486","1,029",877,952,"16,988","69,505,270",505,"449,592","15,186",0,"7,229","9,029","7,714",646,"8,483","7,323","1,604","2,763","1,747","2,920","3,260","2,211","1,957","1,637","1,451","1,097",860,0
"Ocala, FL","=""36100""","138,162","3,642","34,188","86,856,262","16,382","17,829,705","22,597","29,937,003","4,967","6,356","5,996","108,512","289,947,495","20,176","70,837,833","90,827",0,"21,620","68,701","62,222","7,183","83,535","35,923","18,665","1,079","30,623","11,916","12,841","15,546","14,100","11,962","9,783","8,117","6,689","10,412","8,022","8,881","9,553","10,159","34,188",429,"34,188","86,856,262","8,020","2,274,420","12,350","29,772,374","9,247","36,043,449","4,237","18,360,406","7,339","4,979,281","20,749","27,110,890","2,097","1,333","1,127","33,015","143,550,620","1,121","946,684","29,818",0,"12,859","18,309","14,960",816,"16,478","14,470","3,163","8,808","3,021","5,860","7,899","5,229","3,655","2,971","2,280","1,547","1,219",0
"Ocean City, NJ","=""36140""","45,608","1,113","6,790","13,957,590","5,407","6,501,066","4,396","5,323,082","1,307","2,491","3,095","34,766","85,897,642","7,982","39,850,556","25,084",0,"6,311","17,833","26,950",789,"30,834","8,105","6,631",569,"11,023","4,237","3,840","3,958","3,493","2,992","2,619","2,144","1,877","3,243","2,795","3,412","4,206","6,445","6,790",90,"6,790","13,957,590","1,990","548,224","2,439","5,417,185","1,569","5,188,121",668,"2,523,747","1,688","1,202,061","3,574","4,023,481",275,264,336,"6,521","24,732,514",220,"239,179","5,507",0,"2,804","3,109","3,519",67,"3,070","2,785",803,"1,143",692,"1,220","1,550",805,624,601,471,331,260,0
"Odessa, TX","=""36220""","61,808","2,459","14,402","37,301,521","15,219","20,836,868","10,820","14,218,108","2,249","2,924","2,686","53,585","181,491,074","6,966","46,716,692","44,983",31,"17,404","25,070","36,251",464,"30,921","18,135","12,739","1,472","11,865","3,649","4,467","4,847","4,712","4,221","3,905","3,382","3,022","5,542","4,590","5,566","6,303","7,528","14,402",293,"14,402","37,301,521","2,458","720,427","5,290","12,010,049","4,213","15,121,871","2,382","9,350,021","4,795","3,789,704","9,624","12,648,260",712,286,317,"13,940","68,536,783",436,"612,786","12,588",0,"7,073","5,320","8,976",79,"6,086","7,159","1,139","3,225","1,080","2,125","2,701","2,048","1,691","1,523","1,279",954,816,22
"Ogden-Clearfield, UT","=""36260""","241,756","9,736","40,894","93,059,004","59,705","94,092,437","37,488","57,516,456","8,317","22,431","19,258","195,481","505,692,177","39,428","148,421,422","165,268",36,"29,910","127,607","106,726","7,327","163,549","45,508","32,614","5,559","55,672","18,228","17,701","16,934","15,608","14,758","13,233","12,122","11,493","20,206","17,897","22,559","26,981","33,266","40,894",510,"40,894","93,059,004","8,097","2,285,626","13,241","28,131,617","10,587","33,755,732","8,590","28,111,213","14,078","11,100,621","26,529","39,426,016","1,804","2,513","2,866","39,940","167,797,965",887,"814,624","35,952",0,"12,512","21,598","17,447","1,703","21,638","16,169","2,912","7,779","3,296","5,495","6,549","4,305","4,177","3,967","4,050","3,591","4,429",285
"Oklahoma City, OK","=""36420""","517,537","18,072","107,108","261,456,296","95,714","118,020,625","82,033","112,222,358","23,832","37,026","45,999","412,959","1,093,811,938","85,736","360,253,059","366,074",0,"103,100","246,878","256,525","13,916","335,287","111,139","70,333","11,728","136,931","36,778","40,588","43,440","40,960","37,527","34,275","30,933","26,479","42,472","33,051","38,325","45,159","66,840","107,108","1,918","107,108","261,456,296","21,940","6,108,541","39,003","86,821,632","29,415","104,249,565","16,195","63,254,785","31,708","23,691,017","67,949","88,744,890","6,163","4,536","5,707","103,737","438,976,905","3,126","3,124,873","94,723",0,"49,595","50,979","52,836","2,897","56,089","43,484","7,203","23,495","8,970","16,623","20,883","13,956","11,664","10,877","9,584","6,952","5,544",33
"Olympia-Tumwater, WA","=""36500""","114,609","3,338","17,900","36,964,047","20,255","25,817,990","12,058","16,036,008","4,939","8,257","10,311","90,576","230,538,617","19,056","65,292,139","76,900",0,"12,276","71,119","39,799","3,655","70,131","25,768","18,663","1,239","24,107","8,035","7,414","7,683","7,720","7,115","6,818","6,104","5,556","9,921","8,458","10,293","12,666","16,738","17,900",224,"17,900","36,964,047","4,637","1,264,523","6,409","13,445,743","4,363","13,847,607","2,331","8,217,874","5,547","4,277,745","10,035","13,082,680","1,092",884,"1,265","17,342","70,950,833",535,"434,220","15,487",0,"4,858","11,888","5,326",644,"7,239","8,566","2,020","2,894","1,941","2,737","3,115","1,952","1,783","1,780","1,769","1,339","1,220",23
"Omaha-Council Bluffs, NE-IA","=""36540""","400,135","13,577","63,535","147,214,407","72,264","97,228,319","47,574","65,399,932","27,148","32,814","47,888","321,049","818,715,210","64,159","340,180,797","276,763",0,"59,507","187,794","196,912","15,215","267,892","76,013","55,620","7,842","90,571","30,014","29,898","29,445","27,705","26,315","24,656","22,070","18,941","31,395","25,121","30,777","39,200","63,312","63,535","1,149","63,535","147,214,407","14,089","3,836,025","22,898","49,549,544","15,942","54,783,250","9,838","37,447,656","18,132","13,537,810","38,668","51,264,593","5,509","2,970","4,493","61,767","261,976,961","1,504","1,590,251","56,255",0,"25,846","30,380","29,402","3,340","31,227","27,158","4,725","11,158","5,597","9,834","11,967","7,575","6,753","6,510","5,714","3,995","3,365",17
"Orlando-Kissimmee-Sanford, FL","=""36740""","989,410","37,448","264,462","683,260,039","145,531","159,749,029","180,952","238,637,557","48,064","80,930","75,857","818,873","2,316,117,633","133,323","565,290,548","695,257",538,"173,604","501,759","469,545","17,914","600,152","239,723","147,644","15,015","239,738","76,871","91,128","108,458","102,643","84,526","70,605","56,609","47,011","73,900","54,076","59,624","65,753","97,615","264,462","6,081","264,462","683,260,039","59,608","16,683,038","102,990","252,326,766","73,425","292,221,359","27,826","121,088,950","57,585","38,204,535","162,313","207,947,769","17,700","16,072","11,343","255,098","1,126,765,275","9,085","7,530,794","231,422",307,"96,995","117,982","143,391","2,765","146,488","97,433","20,296","79,950","19,618","43,635","61,843","43,285","30,462","24,531","18,626","11,976","8,585",24
