"metro","cbsa","TReturns13","tnew13","eitc13","eitcamt13","tchildret_13","tchildamt_13","taddchildret_13","taddchildamt_13","ttf2441_13","ttedcr_13","ttsld_13","trefund13","TREFAM13","ttbal13","ttsumbal13","ttdirdep_13","ttral_13","ttrac_13","ttself13","ttpaid13","TTtotvol13","TT1040_13","TT1040A_13","TT1040ez_13","ITIN13","ttcef13","yr13ttagi_0","yr13ttagi_5","yr13ttagi_10","yr13ttagi_15","yr13ttagi_20","yr13ttagi_25","yr13ttagi_30","yr13ttagi_35","yr13ttagi_40","yr13ttagi_50","yr13ttagi_60","yr13ttagi_75","yr13ttagi_1x","ERETURN13","ENEW13","EEIC13","EEICAM13","EQC0_13","EQC0AMT_13","EQC1_13","EQC1AMT_13","EQC2_13","EQC2AMT_13","EQC3_13","EQC3AMT_13","ECTC13","ECTCAM13","EACTC13","EACTCAM13","ECDCTC13","EEDCR13","ESLD13","EREF13","EREFAM13","EBAL13","EBALAM13","EDIRDP13","ERAL13","ERAC13","ESELF13","EPAID13","EVOL13","E1040_13","E1040A_13","E1040Z_13","ECEF13","EAGI0_13","EAGI5_13","EAGI10_13","EAGI15_13","EAGI20_13","EAGI25_13","EAGI30_13","EAGI35_13","EAGI40_13","EAGI50_13"
"Abilene, TX","=""10180""","66,199","2,308","16,713","41,316,827","11,757","14,591,179","11,337","14,879,396","3,032","4,152","5,688","55,014","157,139,875","8,542","40,252,938","46,715",121,"13,468","31,083","33,192","1,867","37,520","17,352","11,245",247,"16,327","5,738","5,799","6,316","6,109","5,468","4,661","3,817","3,215","5,025","4,015","4,652","5,226","5,924","16,713",206,"16,713","41,316,827","3,556","1,007,109","5,893","13,430,127","4,626","16,592,811","2,428","9,822,415","4,641","3,416,265","10,533","13,864,623",888,622,841,"16,301","74,483,589",365,"331,713","14,775",93,"7,282","7,240","8,950",447,"7,770","7,526","1,362","3,186","1,523","2,680","3,228","2,180","1,862","1,610","1,337",980,894,0
"Akron, OH","=""10420""","323,084","10,101","54,260","122,064,051","45,549","58,179,364","33,190","41,600,288","9,472","23,337","30,036","260,885","623,201,142","48,541","176,691,559","207,405",251,"46,179","160,052","154,933","8,023","219,700","59,290","43,216",991,"68,788","28,338","27,279","27,421","24,059","21,486","19,829","17,961","15,990","27,076","21,587","24,604","28,027","38,991","54,260",763,"54,260","122,064,051","14,841","4,030,513","19,426","43,508,410","13,370","48,082,939","6,528","26,223,993","12,381","9,290,974","29,757","36,881,733","2,063","3,032","3,371","52,545","206,781,169","1,653","1,325,561","46,379",148,"21,458","28,208","24,309","1,568","29,557","19,927","4,712","11,563","6,240","10,116","12,082","6,618","5,027","4,639","4,000","2,820","2,255",1
"Albany, GA","=""10500""","59,681","1,779","23,016","67,562,424","9,264","9,636,482","16,455","20,836,734","2,962","5,392","2,981","51,076","165,628,005","6,871","28,897,864","44,807",0,"22,704","23,082","34,935","1,585","39,157","14,634","5,867",372,"14,527","4,403","6,432","8,321","6,492","5,312","4,085","3,087","2,566","3,964","2,962","3,408","3,681","4,691","23,016",358,"23,016","67,562,424","3,436","964,549","9,440","23,749,381","7,545","31,243,029","2,462","11,378,218","4,173","2,667,187","15,420","19,187,649","1,293","1,681",537,"22,743","105,312,178",244,"187,508","21,335",0,"15,252","8,071","14,514",383,"13,253","8,607","1,099","5,933","1,310","4,004","6,093","3,854","2,749","1,964","1,271",852,495,0
"Albany, OR","=""10540""","46,303","1,481","8,844","19,411,169","7,880","10,425,250","6,221","8,596,836","1,702","3,068","3,732","35,930","85,321,987","7,607","24,013,167","27,981",0,"7,296","22,779","21,760","1,741","31,227","9,068","5,991",684,"10,553","3,826","3,845","4,008","3,747","3,126","2,911","2,508","2,267","3,750","3,275","4,024","4,367","4,471","8,844",109,"8,844","19,411,169","2,264","623,467","2,941","6,328,939","2,167","7,141,228","1,385","5,132,210","2,362","1,799,422","5,153","6,857,376",446,367,556,"8,549","33,134,343",258,"256,361","7,370",0,"3,462","4,904","3,535",339,"4,338","3,746",708,"1,503",949,"1,441","1,632","1,054",840,814,720,605,549,0
"Albany-Schenectady-Troy, NY","=""10580""","406,188","11,723","58,312","122,831,683","56,948","70,744,184","34,901","41,501,603","18,520","28,943","46,908","324,405","808,895,895","64,875","241,465,608","249,246",0,"58,208","189,023","197,888","19,087","274,417","76,521","54,238","1,254","81,603","33,100","29,421","28,877","25,707","24,251","22,560","20,399","18,119","32,068","27,202","32,271","41,452","69,505","58,312","1,111","58,312","122,831,683","16,105","4,425,532","21,343","46,165,748","13,828","46,980,006","6,237","23,948,705","14,538","10,764,009","31,671","37,671,883","3,673","2,507","3,890","56,190","217,422,386","1,832","1,816,697","48,059",0,"25,142","24,801","29,081","4,000","30,316","22,388","5,159","10,959","6,927","10,650","12,083","6,321","5,618","5,168","4,503","3,090","2,099",0
"Albuquerque, NM","=""10740""","364,569","11,281","81,933","188,595,167","61,165","71,582,243","58,499","76,564,316","13,285","27,510","29,020","289,335","735,723,466","56,571","199,803,737","245,293",55,"69,243","194,951","149,678","19,852","229,028","87,788","47,272","10,093","76,124","30,603","30,534","32,825","31,056","27,456","24,601","21,235","17,947","28,329","21,654","25,233","29,256","43,014","81,933","1,645","81,933","188,595,167","19,272","5,216,969","30,423","67,436,111","21,401","74,868,134","10,381","40,109,361","23,636","17,336,533","48,534","60,853,116","3,955","3,846","4,793","79,411","318,699,460","2,362","1,806,372","71,213",39,"33,666","41,557","35,660","4,482","38,446","36,888","6,355","14,309","8,212","13,405","15,916","10,425","8,951","8,406","7,072","4,762","3,580",54
"Alexandria, LA","=""10780""","60,625","1,972","17,708","47,166,869","11,246","13,122,987","12,101","14,800,291","2,723","3,319","3,445","50,320","148,587,459","8,371","36,954,390","42,520",106,"18,312","30,207","28,595","1,739","36,769","16,098","7,707",193,"12,111","4,428","5,568","6,240","5,944","4,858","3,923","3,331","2,921","4,616","3,553","4,075","4,653","6,150","17,708",248,"17,708","47,166,869","2,924","833,493","7,172","17,024,615","5,423","20,625,088","1,971","8,321,336","4,430","3,146,290","11,335","13,800,971",886,581,444,"17,372","76,431,327",244,"260,865","16,004",98,"10,194","8,519","8,738",346,"8,946","7,647",981,"2,839","1,383","2,870","3,791","2,882","2,038","1,553","1,221",823,551,0
"Allentown-Bethlehem-Easton, PA-NJ","=""10900""","387,326","11,548","59,954","133,804,586","57,274","71,257,007","38,821","47,749,232","15,861","25,931","34,884","311,369","809,007,155","54,163","208,670,997","230,528",16,"54,383","173,907","204,396","8,915","256,368","75,723","54,722","2,092","72,223","38,389","31,441","29,571","25,617","23,464","21,749","19,433","17,292","29,394","23,979","29,524","36,897","59,481","59,954","1,131","59,954","133,804,586","14,641","3,978,448","22,182","48,376,141","15,363","52,959,846","7,184","27,578,165","16,119","11,747,711","34,485","42,182,068","3,846","2,933","3,219","57,942","241,899,617","1,869","1,758,327","49,929",13,"24,777","26,577","31,936","1,110","29,308","24,877","5,456","10,969","5,982","10,073","12,074","7,287","6,380","5,853","5,194","3,429","2,614",12
"Altoona, PA","=""11020""","57,556","1,411","10,416","21,760,153","8,482","11,036,692","6,068","7,461,073","1,889","3,207","6,159","47,794","115,116,475","6,508","21,419,154","36,926",0,"7,811","24,464","31,436","1,637","33,923","14,856","8,759",12,"9,981","5,884","5,291","5,094","4,786","4,229","3,606","3,205","2,873","4,394","3,713","4,432","4,779","5,041","10,416",53,"10,416","21,760,153","2,944","774,703","3,774","8,250,283","2,398","7,998,713","1,237","4,569,830","2,647","1,997,821","5,557","6,871,192",432,446,854,"10,139","41,421,089",249,"237,663","8,874",0,"3,944","5,016","5,194",157,"4,779","4,570","1,047","1,473","1,214","1,848","2,049","1,282","1,021",874,819,611,550,0
"Amarillo, TX","=""11100""","104,109","4,022","25,263","65,035,442","20,172","25,111,554","18,609","25,028,128","4,726","7,273","7,067","86,228","244,500,992","14,116","73,277,553","73,765",25,"21,039","54,631","48,048","1,372","59,883","26,125","18,024","1,638","24,591","8,290","8,939","9,689","8,968","7,950","7,158","5,966","4,943","7,871","6,211","7,369","8,736","11,697","25,263",519,"25,263","65,035,442","4,854","1,374,821","9,188","21,112,003","7,138","26,074,804","3,840","15,875,097","7,532","5,537,969","16,583","22,092,539","1,292",964,931,"24,643","113,759,899",552,"613,483","22,430",21,"11,142","12,599","12,364",223,"12,056","11,166","1,920","4,956","1,970","3,752","4,957","3,410","3,021","2,764","2,107","1,462","1,187",11
"Ames, IA","=""11180""","34,959","1,478","3,687","6,676,995","5,245","7,603,950","2,260","3,017,263","1,860","3,590","5,396","26,694","57,991,028","6,637","27,395,511","22,439",0,"3,518","16,501","17,586",824,"22,912","6,260","4,801",285,"9,279","2,971","2,971","2,558","2,400","2,219","1,737","1,519","1,413","2,544","2,061","2,677","3,717","6,089","3,687",40,"3,687","6,676,995","1,305","357,591","1,103","2,316,372",747,"2,301,842",402,"1,480,763",927,"727,031","1,763","2,267,764",210,230,450,"3,544","12,419,770",97,"126,012","3,149",0,"1,177","1,911","1,588",132,"1,821","1,481",337,667,476,657,733,307,269,236,263,183,203,0
"Anchorage, AK","=""11260""","172,669","4,246","24,539","52,298,190","30,213","40,208,522","16,799","23,167,646","7,705","12,744","16,958","133,900","370,685,983","30,994","124,086,385","116,463",403,"24,920","97,820","68,748","6,034","114,111","32,306","26,155",293,"35,773","14,021","11,427","10,577","10,271","10,521","9,719","8,957","8,146","13,894","11,256","13,878","17,596","32,253","24,539",448,"24,539","52,298,190","5,578","1,482,058","8,655","17,566,685","5,968","18,894,377","4,063","13,988,546","8,663","6,792,632","14,693","20,100,176","1,638","1,147","1,912","23,792","103,608,143",656,"806,014","21,579",226,"8,930","13,322","9,940","1,177","12,352","10,106","1,952","3,918","1,953","3,696","4,127","2,602","2,544","2,608","2,595","1,986","1,730",0
"Ann Arbor, MI","=""11460""","149,967","5,771","19,080","38,608,079","18,563","24,094,375","11,338","15,203,279","6,634","13,961","16,806","112,190","275,015,502","28,921","126,489,159","89,605",0,"18,198","79,914","68,619","1,417","103,008","25,369","19,198","1,809","38,368","15,358","11,953","11,151","9,536","8,164","7,760","6,802","5,808","9,711","8,490","10,738","13,698","30,596","19,080",299,"19,080","38,608,079","6,844","1,845,183","5,987","13,539,623","4,000","14,208,483","2,177","8,918,640","3,703","2,719,806","9,450","12,033,645",910,"1,339","1,618","18,128","63,573,402",928,"734,412","15,661",0,"7,233","9,579","9,227",202,"10,136","6,912","1,970","5,105","2,546","4,054","4,430","2,070","1,554","1,365","1,349",846,697,0
"Anniston-Oxford-Jacksonville, AL","=""11500""","44,663","1,372","12,209","30,782,614","7,753","9,082,845","8,384","10,718,226","1,876","2,845","2,241","37,848","105,232,501","5,335","16,213,409","32,697",14,"11,064","16,340","26,620","1,679","28,606","10,803","5,229",480,"8,735","3,306","4,143","4,780","4,022","3,486","3,099","2,631","2,161","3,675","2,870","3,396","3,427","3,457","12,209",174,"12,209","30,782,614","2,441","683,015","4,838","11,380,256","3,546","13,184,134","1,310","5,360,827","2,931","2,106,230","7,505","9,175,337",614,521,373,"11,938","51,813,356",259,"188,999","11,011",0,"6,140","4,673","7,098",377,"6,499","4,813",843,"2,411",991,"2,024","2,775","1,717","1,315","1,127",940,627,517,0
"Appleton, WI","=""11540""","109,424","3,106","12,990","25,728,679","19,868","28,259,959","8,750","11,875,671","4,456","9,115","11,312","85,066","189,833,841","18,593","76,114,736","64,276",0,"9,233","51,043","55,866","2,492","77,243","17,442","14,635","1,165","22,641","9,510","8,539","7,515","6,776","6,426","6,000","5,519","5,066","8,587","7,444","9,828","12,258","15,726","12,990",59,"12,990","25,728,679","3,572","936,548","4,650","9,532,797","2,858","8,799,852","1,799","6,264,942","3,934","3,092,619","6,779","8,616,936",694,708,"1,071","12,501","47,151,943",433,"414,411","10,607",0,"3,329","6,673","5,656",561,"7,125","4,763","1,020","2,286","1,377","2,045","2,375","1,308","1,264","1,267","1,176",906,912,21
"Asheville, NC","=""11700""","185,935","4,898","37,423","80,206,109","25,649","29,537,385","25,301","34,276,891","6,094","9,102","13,003","141,964","327,113,374","32,876","121,091,696","110,913",0,"29,730","80,565","94,782","10,556","123,948","36,973","24,951","4,559","50,367","16,309","16,759","17,687","16,166","14,398","12,577","10,757","8,792","14,111","11,300","13,225","14,832","18,740","37,423",386,"37,423","80,206,109","11,392","3,171,769","13,452","30,582,948","8,616","30,978,322","3,752","15,147,536","8,872","6,442,633","20,093","24,862,760","1,662","1,012","1,680","35,229","129,391,395","2,097","1,832,656","30,534",0,"14,655","16,471","18,832","1,982","20,063","13,489","3,746","10,602","4,090","6,945","8,227","4,605","3,657","3,135","2,661","1,887","1,629",12
"Athens-Clarke County, GA","=""12020""","70,534","2,764","17,580","44,488,890","10,394","11,914,051","12,719","17,747,485","3,370","5,590","5,974","56,503","144,491,802","11,253","40,099,050","47,752",0,"15,009","34,557","33,822","2,101","44,832","15,555","9,501","2,091","18,436","6,236","7,048","7,461","6,564","5,793","4,623","3,801","3,098","4,862","3,600","4,195","5,022","7,915","17,580",312,"17,580","44,488,890","4,223","1,187,588","6,401","15,540,351","4,795","18,669,736","2,029","8,851,654","3,607","2,464,731","10,468","13,326,519",915,799,715,"17,079","68,732,054",444,"364,709","15,610",0,"8,466","8,233","8,895",339,"9,378","6,691","1,451","4,747","1,415","3,312","4,232","2,484","1,978","1,457","1,050",758,629,0
"Atlanta-Sandy Springs-Roswell, GA","=""12060""","2,221,676","81,904","557,865","1,488,215,821","349,612","398,979,133","430,957","612,693,376","124,497","190,288","181,777","1,768,360","5,144,422,786","380,356","1,685,298,083","1,522,230",208,"524,533","1,064,013","1,123,925","33,247","1,582,293","397,816","237,085","79,755","647,994","168,182","196,032","222,299","190,222","157,137","134,480","116,350","99,120","161,795","128,135","146,716","172,969","326,129","557,865","11,687","557,865","1,488,215,821","116,222","33,274,109","213,227","524,340,415","160,119","635,770,439","67,003","292,658,395","110,743","74,369,560","350,440","459,116,064","38,081","38,129","24,641","537,964","2,302,077,581","19,399","16,608,292","496,478",12,"275,671","239,088","311,944","6,162","353,769","170,312","33,223","204,025","38,528","98,954","136,345","86,060","59,520","49,225","40,142","26,678","19,122",182
"Atlantic City-Hammonton, NJ","=""12100""","127,685","4,262","27,146","65,083,938","19,800","21,677,539","20,509","26,764,485","5,677","9,585","8,964","106,056","298,650,641","16,446","65,250,264","78,956",1,"24,016","45,824","79,784","2,017","85,222","25,151","17,288","3,830","23,245","10,247","10,492","11,494","11,410","10,105","8,792","7,349","5,907","9,701","7,774","8,705","10,131","15,296","27,146",594,"27,146","65,083,938","5,674","1,546,941","11,077","25,032,351","7,405","26,755,467","2,826","11,476,887","7,046","4,653,245","16,343","19,758,055","2,048","1,553","1,079","26,423","114,844,488",696,"595,770","22,334",0,"11,636","10,190","16,592",283,"14,526","10,336","2,187","4,753","2,048","4,010","5,505","4,106","3,495","2,883","2,331","1,444",845,0
"Auburn-Opelika, AL","=""12220""","55,701","2,163","14,516","38,341,514","9,706","11,410,214","10,118","13,347,986","3,609","5,609","4,364","46,511","129,191,487","7,512","30,954,679","39,741",55,"14,280","23,423","31,125","1,145","38,042","10,574","6,620",875,"12,539","4,235","5,310","5,992","5,238","4,342","3,636","3,101","2,643","4,050","3,157","3,651","4,172","6,087","14,516",193,"14,516","38,341,514","2,677","756,149","5,920","14,175,040","4,445","17,264,169","1,457","6,126,702","3,274","2,233,959","8,832","11,105,432","1,212","1,070",582,"14,259","63,167,077",242,"217,649","13,335",13,"7,887","4,822","9,415",259,"9,658","4,098",738,"3,589",827,"2,296","3,401","2,263","1,667","1,453","1,179",751,578,0
"Augusta-Richmond County, GA-SC","=""12260""","229,331","7,001","65,049","173,655,068","37,866","43,871,342","46,246","59,978,395","11,495","17,612","16,068","187,992","536,839,495","34,373","111,344,358","161,411",2,"57,612","98,434","123,671","7,156","143,592","57,655","27,932","1,835","51,777","16,981","21,323","25,013","21,117","17,292","14,810","12,407","10,385","16,569","13,173","15,355","18,530","26,139","65,049",855,"65,049","173,655,068","12,168","3,367,541","25,973","62,704,236","19,099","74,468,870","7,687","32,839,145","14,074","9,621,538","42,028","53,061,997","4,215","3,581","2,446","63,581","275,629,156","1,388","1,195,705","58,928",2,"34,612","28,615","34,946","1,338","31,668","28,969","4,314","14,752","4,693","11,096","15,761","10,109","7,075","5,761","4,596","3,172","2,252",12
"Austin-Round Rock, TX","=""12420""","872,525","36,667","154,428","359,027,163","137,000","161,869,393","132,174","185,535,505","41,108","59,744","87,293","699,569","1,891,475,954","144,055","774,871,953","581,311",525,"143,467","540,163","306,770","25,491","518,144","200,199","151,177","38,888","212,913","72,557","77,490","76,950","67,457","59,967","54,548","47,349","41,361","67,069","49,801","56,515","69,725","131,162","154,428","3,490","154,428","359,027,163","41,052","11,612,186","53,432","123,912,736","39,098","143,586,061","19,593","78,902,556","39,726","29,481,516","89,004","115,741,680","8,431","6,838","8,480","148,212","599,089,088","6,026","5,750,778","129,709",320,"55,060","84,890","61,808","7,449","76,125","61,931","16,139","38,503","15,032","28,751","34,068","18,955","15,586","13,989","11,855","8,390","6,346",97
"Bakersfield, CA","=""12540""","299,025","14,486","86,475","236,455,009","69,678","82,173,869","81,895","117,745,553","12,853","20,720","15,451","245,420","724,456,263","44,364","285,499,982","184,415",0,"63,199","93,538","199,244","6,084","189,530","76,144","33,188","25,914","62,121","16,681","26,153","33,147","30,165","24,322","19,881","17,602","13,955","21,396","16,527","20,523","23,590","34,187","86,475","3,360","86,475","236,455,009","12,856","3,691,081","32,898","78,829,291","25,518","94,722,987","14,824","58,528,710","25,319","17,579,035","59,945","77,658,776","3,477","3,367","2,159","83,686","356,801,302","2,650","2,837,365","67,920",0,"34,847","25,391","58,961","1,899","45,630","36,073","4,554","18,695","4,986","13,117","18,762","13,641","9,633","8,196","7,144","5,238","4,569",164
"Baltimore-Columbia-Towson, MD","=""12580""","1,209,293","41,138","197,199","462,011,898","178,061","208,003,961","143,320","182,095,547","74,509","94,834","97,040","958,201","2,668,085,648","208,091","852,567,826","750,104",209,"196,870","591,775","587,734","29,533","876,789","195,200","135,048","25,263","276,901","86,998","86,743","88,175","75,583","70,087","66,464","60,327","53,887","94,412","77,648","92,425","115,556","239,402","197,199","4,982","197,199","462,011,898","43,497","12,106,201","78,611","175,572,871","52,426","187,245,089","21,642","85,516,788","49,719","35,114,466","119,170","147,044,586","19,538","11,182","8,298","190,555","764,388,632","6,424","5,707,091","166,238",44,"87,937","91,764","99,512","5,451","114,648","68,801","13,374","51,927","17,246","33,906","41,219","24,150","21,336","20,772","18,066","11,717","7,135",11
"Bangor, ME","=""12620""","63,613","1,760","11,655","23,293,515","9,320","11,562,565","6,482","7,708,664","2,378","4,486","6,795","52,416","121,100,708","8,474","28,157,088","41,058",0,"9,427","31,880","27,880","3,764","39,720","13,990","9,758",53,"13,000","5,703","5,566","5,592","5,284","4,823","4,179","3,558","3,031","4,939","4,067","5,068","5,338","6,126","11,655",38,"11,655","23,293,515","3,393","923,169","4,351","9,403,279","2,547","8,481,980","1,093","4,138,431","2,880","2,133,114","5,922","7,069,629",468,466,742,"11,205","41,322,794",303,"411,565","9,699",0,"4,099","6,393","4,455",686,"5,496","4,952","1,056","2,166","1,345","2,014","2,309","1,351","1,077",979,776,529,443,0
"Barnstable Town, MA","=""12700""","111,904","2,788","12,481","22,226,189","11,222","13,984,294","6,471","7,574,213","3,675","6,323","7,897","75,996","178,318,904","26,471","116,517,318","53,888",0,"10,444","44,590","64,543","2,674","81,264","15,667","14,917",740,"33,916","10,008","8,890","8,045","7,268","6,330","5,860","5,402","4,779","8,496","7,231","8,975","11,054","19,416","12,481",163,"12,481","22,226,189","3,963","1,109,518","4,250","9,226,562","2,382","7,797,869",851,"3,097,476","2,800","2,075,218","5,416","6,361,267",717,455,645,"11,184","37,924,173","1,173","1,305,237","8,835",0,"3,693","5,694","6,439",167,"6,621","4,232","1,416","3,704","1,471","2,390","2,694","1,216",953,909,839,622,435,0
"Baton Rouge, LA","=""12940""","324,595","10,247","87,581","242,627,725","54,995","63,667,315","59,496","75,301,248","19,529","24,363","23,246","266,179","790,127,218","48,808","233,520,149","227,123",583,"86,153","156,908","160,348","7,174","221,795","66,210","36,189","2,178","80,153","21,001","28,815","34,227","28,918","23,256","19,444","16,639","14,558","24,556","18,742","21,404","26,609","45,571","87,581","1,339","87,581","242,627,725","14,984","4,391,511","35,131","85,288,999","27,847","111,955,008","9,059","39,908,340","18,840","12,936,197","54,848","68,617,917","5,962","5,274","3,245","85,807","380,586,282","1,601","1,613,021","79,087",505,"49,138","40,210","45,491","1,549","53,227","30,146","3,935","23,369","5,309","14,719","21,545","14,518","10,052","7,940","6,026","3,837","2,262",0
"Battle Creek, MI","=""12980""","58,326","2,120","12,722","31,641,288","8,972","11,150,514","8,594","11,117,252","1,924","3,701","4,248","46,990","120,132,663","7,807","23,769,430","38,027",0,"10,901","25,145","32,504",654,"37,476","13,186","7,633",311,"10,999","5,961","5,389","5,469","5,023","4,136","3,486","3,108","2,638","4,499","3,557","4,292","4,876","5,845","12,722",297,"12,722","31,641,288","2,799","764,117","4,510","10,402,526","3,513","12,836,073","1,867","7,565,950","3,142","2,312,469","7,887","10,155,294",451,498,572,"12,431","53,054,122",245,"207,723","11,209",0,"5,836","6,432","6,090",167,"6,357","5,351",986,"2,282","1,188","2,209","2,757","1,845","1,291","1,074",927,685,565,0
"Bay City, MI","=""13020""","50,953","1,406","9,188","19,248,468","6,995","9,026,690","5,184","6,109,642","1,651","3,362","3,639","41,090","96,298,557","6,182","18,146,101","32,770",0,"6,473","19,152","29,917","1,866","35,707","8,889","6,324",4,"10,236","5,549","4,927","5,066","4,399","3,549","2,983","2,411","2,304","3,718","3,106","3,713","4,284","4,883","9,188",78,"9,188","19,248,468","2,808","736,341","3,266","7,378,611","2,086","7,175,561",982,"3,882,273","2,077","1,531,253","4,817","5,700,648",317,394,495,"8,875","33,463,929",283,"212,024","7,758",0,"3,323","4,104","4,646",409,"4,868","3,418",879,"1,658","1,107","1,738","2,018","1,193",845,689,565,458,421,0
"Beaumont-Port Arthur, TX","=""13140""","157,688","5,462","39,510","102,414,251","29,133","36,129,871","28,441","36,775,934","5,907","10,196","6,858","134,145","411,592,262","18,715","78,509,515","110,576",362,"40,138","71,518","84,646","1,419","91,300","41,401","24,872","3,677","34,944","12,138","14,199","15,755","13,639","10,589","9,136","8,061","7,181","11,842","9,597","11,173","13,695","20,364","39,510",629,"39,510","102,414,251","7,750","2,169,101","15,173","36,009,504","11,320","43,161,670","4,920","20,460,439","9,431","6,850,731","24,723","31,162,465","1,741","1,616","1,025","38,592","171,115,055",831,"780,354","34,787",263,"20,014","16,569","22,587",224,"18,502","17,707","3,149","9,153","3,333","6,825","9,034","5,900","3,950","3,288","2,772","2,030","1,518",0
"Beckley, WV","=""13220""","46,465",882,"11,038","24,763,966","8,006","10,376,245","6,630","7,874,009",710,"1,738","3,008","39,684","106,430,900","4,763","14,840,170","31,430",0,"11,178","22,906","21,974","1,324","24,599","14,094","7,669",12,"7,281","3,961","4,363","4,633","4,083","3,372","2,649","2,281","1,911","3,154","2,727","3,481","3,986","3,829","11,038",37,"11,038","24,763,966","2,460","675,790","4,003","8,990,585","2,529","8,813,848","1,084","4,318,276","2,567","1,884,043","6,234","7,405,747",128,141,337,"10,834","44,013,346",103,"143,701","9,487",0,"5,298","5,544","4,974",218,"4,277","5,302",958,"1,205","1,089","1,797","2,146","1,251",887,683,517,408,299,0
"Bellingham, WA","=""13380""","86,285","2,956","12,612","23,909,638","13,535","18,028,463","7,866","10,594,481","2,502","5,988","7,358","65,053","149,746,970","15,624","65,023,715","51,969",0,"7,769","50,937","32,866","2,462","53,282","17,319","15,604","1,158","21,726","7,729","6,947","6,709","6,280","5,935","5,219","4,680","4,063","6,525","5,335","6,936","8,449","11,472","12,612",167,"12,612","23,909,638","4,092","1,117,176","4,159","8,664,295","2,652","8,446,316","1,575","5,507,562","3,554","2,739,346","6,248","8,064,817",514,543,817,"11,926","42,553,073",655,"627,441","10,155",0,"2,997","7,961","4,089",530,"5,736","5,299","1,528","2,653","1,610","2,201","2,322","1,177","1,210","1,104","1,058",816,815,11
"Bend-Redmond, OR","=""13460""","70,536","2,089","11,925","24,159,774","10,003","12,531,493","7,713","10,113,006","2,931","4,337","6,337","50,084","115,378,166","15,024","72,614,450","39,817",0,"8,846","34,053","33,178","3,293","49,973","11,339","9,219",981,"21,674","6,375","6,084","5,684","5,466","5,013","4,279","3,603","3,086","5,041","4,233","5,395","6,390","9,877","11,925",121,"11,925","24,159,774","3,811","1,057,270","3,906","8,477,210","2,785","9,480,532","1,348","5,102,483","2,842","2,110,232","6,228","7,907,818",710,550,928,"11,194","39,152,950",730,"667,364","9,597",0,"3,839","6,820","4,283",811,"6,364","4,372","1,188","3,050","1,501","2,254","2,283","1,341","1,185","1,118",911,641,612,11
"Billings, MT","=""13740""","74,626","2,039","11,868","25,225,139","11,845","15,790,539","7,509","9,609,684","3,192","4,387","8,218","56,491","136,687,919","13,372","63,291,125","45,077",0,"10,402","29,015","41,679","3,877","52,659","11,446","10,455",0,"19,881","6,367","6,188","5,842","5,663","5,109","4,660","3,987","3,378","5,475","4,632","5,781","7,087","9,986","11,868",78,"11,868","25,225,139","3,185","875,633","4,219","9,161,880","2,714","9,176,933","1,479","5,456,161","3,318","2,475,504","6,646","8,402,532",717,427,954,"11,425","43,800,097",380,"427,305","9,835",0,"4,532","4,916","5,912",908,"6,461","4,240","1,009","2,126","1,275","2,000","2,253","1,426","1,133","1,041",885,656,571,14
"Binghamton, NY","=""13780""","108,727","3,223","19,809","43,128,402","14,682","18,736,959","11,599","14,344,468","2,967","6,950","11,181","88,337","217,167,483","15,290","47,887,552","70,537",0,"17,408","51,866","49,677","7,136","69,674","23,235","15,317",87,"20,932","10,002","9,706","9,801","8,823","7,587","6,571","5,632","4,953","8,272","6,933","8,306","9,373","12,274","19,809",201,"19,809","43,128,402","5,659","1,556,878","6,906","15,499,339","4,667","16,283,057","2,449","9,550,753","4,644","3,421,508","10,805","13,345,645",700,726,"1,365","19,192","76,112,976",541,"506,425","16,995",0,"8,467","9,805","8,420","1,434","9,807","7,928","1,944","3,693","2,288","3,746","4,336","2,372","1,858","1,657","1,386",962,821,0
"Birmingham-Hoover, AL","=""13820""","448,413","14,104","110,092","298,764,508","76,315","90,207,591","78,422","104,852,405","25,623","35,100","33,377","364,000","1,074,298,218","67,865","328,225,044","310,033",158,"115,040","189,945","250,193","7,984","310,467","89,957","47,437","7,189","101,051","31,157","36,528","43,600","39,086","31,783","28,249","24,667","21,054","34,922","27,232","30,902","37,251","60,585","110,092","1,571","110,092","298,764,508","18,826","5,327,113","45,206","108,955,270","33,760","133,260,577","11,721","50,171,873","24,571","17,147,959","67,849","85,970,340","7,333","6,609","3,918","107,687","483,405,365","2,116","2,081,728","100,096",91,"63,491","40,643","67,068","1,959","63,548","40,434","5,805","25,302","6,779","17,359","25,906","18,413","11,981","10,254","8,527","5,645","3,860",0
"Bismarck, ND","=""13900""","58,522","1,639","6,819","13,914,499","9,970","14,239,916","4,343","5,428,514","3,947","3,921","8,912","44,684","107,838,244","11,633","73,453,707","34,479",0,"6,569","24,665","31,814","1,976","38,560","11,177","8,723",80,"17,423","3,912","3,995","3,706","3,509","3,497","3,499","3,087","2,763","4,577","3,582","4,680","6,719","10,328","6,819",101,"6,819","13,914,499","1,773","498,726","2,468","5,120,622","1,586","5,145,635",784,"2,699,103","2,077","1,614,278","3,766","4,615,887",573,246,842,"6,598","26,382,693",162,"187,976","5,621",0,"2,582","3,066","3,305",351,"3,172","2,984",539,"1,157",795,"1,104","1,182",655,635,626,571,434,307,0
